T_score_TREE_DEPTH_1,H_score_TREE_DEPTH_1,T_score_TREE_DEPTH_2,H_score_TREE_DEPTH_2,T_score_TREE_DEPTH_3,H_score_TREE_DEPTH_3,,,Train_error_TREE_DEPTH_1,Test_error_TREE_DEPTH_1,Train_error_TREE_DEPTH_2,Test_error_TREE_DEPTH_2,Train_error_TREE_DEPTH_3,Test_error_TREE_DEPTH_3
0.957347415,0.950778503,0.996648726,0.984429935,1,0.987945756,,,0.042652585,0.049221497,0.003351274,0.015570065,0,0.012054244
0.959175383,0.950276243,0.997258048,0.984932195,1,0.988448016,,,0.040824617,0.049723757,0.002741952,0.015067805,0,0.011551984
0.958769168,0.951280763,0.997664263,0.985434455,1,0.987945756,,,0.041230832,0.048719237,0.002335737,0.014565545,0,0.012054244
0.959175383,0.950276243,0.997461156,0.984429935,1,0.988448016,,,0.040824617,0.049723757,0.002538844,0.015570065,0,0.011551984
0.960292475,0.951783024,0.997562709,0.984932195,1,0.988448016,,,0.039707525,0.048216976,0.002437291,0.015067805,0,0.011551984
0.959683152,0.951280763,0.997765817,0.984429935,1,0.987945756,,,0.040316848,0.048719237,0.002234183,0.015570065,0,0.012054244
0.95988626,0.950276243,0.997562709,0.983927675,1,0.988448016,,,0.04011374,0.049723757,0.002437291,0.016072325,0,0.011551984
0.95988626,0.951280763,0.997867371,0.983927675,1,0.988448016,,,0.04011374,0.048719237,0.002132629,0.016072325,0,0.011551984
0.959784706,0.950276243,0.997968925,0.984932195,1,0.988950276,,,0.040215294,0.049723757,0.002031075,0.015067805,0,0.011049724
0.959784706,0.951280763,0.997765817,0.984429935,1,0.988448016,,,0.040215294,0.048719237,0.002234183,0.015570065,0,0.011551984
0.959784706,0.950276243,0.998172032,0.985434455,1,0.989954797,,,0.040215294,0.049723757,0.001827968,0.014565545,0,0.010045203
0.959784706,0.951280763,0.997867371,0.983927675,1,0.988950276,,,0.040215294,0.048719237,0.002132629,0.016072325,0,0.011049724
0.959784706,0.950276243,0.998172032,0.984932195,1,0.988950276,,,0.040215294,0.049723757,0.001827968,0.015067805,0,0.011049724
0.959378491,0.951280763,0.998070478,0.984429935,1,0.988950276,,,0.040621509,0.048719237,0.001929522,0.015570065,0,0.011049724
0.959784706,0.950276243,0.998172032,0.984932195,1,0.988950276,,,0.040215294,0.049723757,0.001827968,0.015067805,0,0.011049724
0.957144308,0.952285284,0.998172032,0.984429935,1,0.989452536,,,0.042855692,0.047714716,0.001827968,0.015570065,0,0.010547464
0.961104905,0.956303365,0.99837514,0.984932195,1,0.988950276,,,0.038895095,0.043696635,0.00162486,0.015067805,0,0.011049724
0.960394029,0.953792064,0.998070478,0.984429935,1,0.989452536,,,0.039605971,0.046207936,0.001929522,0.015570065,0,0.010547464
0.960597136,0.953792064,0.99837514,0.984429935,1,0.988950276,,,0.039402864,0.046207936,0.00162486,0.015570065,0,0.011049724
0.96069869,0.954294324,0.998070478,0.984429935,1,0.988950276,,,0.03930131,0.045705676,0.001929522,0.015570065,0,0.011049724
0.960495582,0.953792064,0.99837514,0.984429935,1,0.988950276,,,0.039504418,0.046207936,0.00162486,0.015570065,0,0.011049724
0.960394029,0.953792064,0.99837514,0.984429935,1,0.988448016,,,0.039605971,0.046207936,0.00162486,0.015570065,0,0.011551984
0.960495582,0.953792064,0.99837514,0.984429935,1,0.988448016,,,0.039504418,0.046207936,0.00162486,0.015570065,0,0.011551984
0.960597136,0.953792064,0.998070478,0.984429935,1,0.988950276,,,0.039402864,0.046207936,0.001929522,0.015570065,0,0.011049724
0.960495582,0.953792064,0.99837514,0.984932195,1,0.987945756,,,0.039504418,0.046207936,0.00162486,0.015067805,0,0.012054244
0.960394029,0.953792064,0.99837514,0.984429935,1,0.989954797,,,0.039605971,0.046207936,0.00162486,0.015570065,0,0.010045203
0.960495582,0.953289804,0.998070478,0.984429935,1,0.989452536,,,0.039504418,0.046710196,0.001929522,0.015570065,0,0.010547464
0.960597136,0.953792064,0.99837514,0.984429935,1,0.989452536,,,0.039402864,0.046207936,0.00162486,0.015570065,0,0.010547464
0.960495582,0.953289804,0.998070478,0.984429935,1,0.989452536,,,0.039504418,0.046710196,0.001929522,0.015570065,0,0.010547464
0.960495582,0.953792064,0.998476693,0.984429935,1,0.989954797,,,0.039504418,0.046207936,0.001523307,0.015570065,0,0.010045203
0.960495582,0.953289804,0.99837514,0.984429935,1,0.989954797,,,0.039504418,0.046710196,0.00162486,0.015570065,0,0.010045203
0.960495582,0.954294324,0.998578247,0.985434455,1,0.990457057,,,0.039504418,0.045705676,0.001421753,0.014565545,0,0.009542943
0.96069869,0.954796585,0.998578247,0.984429935,1,0.989954797,,,0.03930131,0.045203415,0.001421753,0.015570065,0,0.010045203
0.960292475,0.954294324,0.998273586,0.985434455,1,0.990457057,,,0.039707525,0.045705676,0.001726414,0.014565545,0,0.009542943
0.960800244,0.953792064,0.998578247,0.984932195,1,0.990457057,,,0.039199756,0.046207936,0.001421753,0.015067805,0,0.009542943
0.960292475,0.954294324,0.998578247,0.985434455,1,0.989452536,,,0.039707525,0.045705676,0.001421753,0.014565545,0,0.010547464
0.960901798,0.953792064,0.998578247,0.984932195,1,0.990457057,,,0.039098202,0.046207936,0.001421753,0.015067805,0,0.009542943
0.960495582,0.954294324,0.998578247,0.985434455,1,0.989954797,,,0.039504418,0.045705676,0.001421753,0.014565545,0,0.010045203
0.960800244,0.953792064,0.998476693,0.984429935,1,0.989954797,,,0.039199756,0.046207936,0.001523307,0.015570065,0,0.010045203
0.960597136,0.954294324,0.998476693,0.984932195,1,0.989954797,,,0.039402864,0.045705676,0.001523307,0.015067805,0,0.010045203
0.961104905,0.953792064,0.998984462,0.985434455,1,0.990457057,,,0.038895095,0.046207936,0.001015538,0.014565545,0,0.009542943
0.960394029,0.955298845,0.998781355,0.985434455,1,0.989954797,,,0.039605971,0.044701155,0.001218645,0.014565545,0,0.010045203
0.961206459,0.953792064,0.99918757,0.986941236,1,0.990457057,,,0.038793541,0.046207936,0.00081243,0.013058764,0,0.009542943
0.961409566,0.955298845,0.998984462,0.986438975,1,0.990959317,,,0.038590434,0.044701155,0.001015538,0.013561025,0,0.009040683
0.961206459,0.954294324,0.998984462,0.985434455,1,0.990457057,,,0.038793541,0.045705676,0.001015538,0.014565545,0,0.009542943
0.96151112,0.955298845,0.998882909,0.984932195,1,0.990457057,,,0.03848888,0.044701155,0.001117091,0.015067805,0,0.009542943
0.961409566,0.956805625,0.999390677,0.986941236,1,0.989954797,,,0.038590434,0.043194375,0.000609323,0.013058764,0,0.010045203
0.961003351,0.957307885,0.998984462,0.986438975,1,0.989954797,,,0.038996649,0.042692115,0.001015538,0.013561025,0,0.010045203
0.96151112,0.958312406,0.999086016,0.986438975,1,0.989954797,,,0.03848888,0.041687594,0.000913984,0.013561025,0,0.010045203
0.961206459,0.958312406,0.998882909,0.986941236,1,0.990457057,,,0.038793541,0.041687594,0.001117091,0.013058764,0,0.009542943
0.96151112,0.958312406,0.999086016,0.985434455,1,0.990457057,,,0.03848888,0.041687594,0.000913984,0.014565545,0,0.009542943
0.961206459,0.958312406,0.998984462,0.985434455,1,0.989954797,,,0.038793541,0.041687594,0.001015538,0.014565545,0,0.010045203
0.961612674,0.958312406,0.998781355,0.986438975,1,0.990457057,,,0.038387326,0.041687594,0.001218645,0.013561025,0,0.009542943
0.961409566,0.958814666,0.999086016,0.985936715,1,0.989452536,,,0.038590434,0.041185334,0.000913984,0.014063285,0,0.010547464
0.961612674,0.958312406,0.999086016,0.984932195,1,0.989452536,,,0.038387326,0.041687594,0.000913984,0.015067805,0,0.010547464
